Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_1446000,23,14,17,18,16,21,154,163,236,123,122,145
PF3D7_0406400,815,654,638,708,653,730,2356,2121,2550,2105,2534,2204
PF3D7_1372100,16,10,15,106,78,84,695,705,789,2153,2380,1886
PF3D7_1005500,1223,702,1037,873,768,929,7701,7696,9231,16454,17007,15137
PF3D7_0625600,12,9,13,35,41,43,37,60,69,152,167,127
PF3D7_1041200,116,104,131,24,21,20,2,5,0,5,11,11
PF3D7_1310900,418,365,411,183,189,258,205,196,272,854,755,717
PF3D7_0506900,97,89,71,195,146,179,26828,26302,31434,35227,40207,35808
PF3D7_1137700,1,2,0,1,1,2,20,20,34,350,316,235
PF3D7_0508800,159,132,152,67,83,86,2547,3314,2797,4606,5400,5500
PF3D7_0525200,177,106,150,154,169,151,6225,6121,7723,7242,7449,6144
PF3D7_0719700,38836,36750,38021,25079,23811,26631,3763,3763,4325,8297,7472,8682
PF3D7_1320700,14,26,34,11,19,16,7211,7570,9022,10163,11142,9495
PF3D7_1227300,8,4,4,8,15,10,600,791,931,999,915,903
PF3D7_0616000,1181,866,1140,691,634,689,639,626,756,2319,2438,1757
PF3D7_0507300,9,4,4,2,3,7,2530,3936,3031,149,160,117
PF3D7_0219800,226,173,186,204,200,235,2476,3143,3165,2478,2769,2206
PF3D7_1308900,1484,1018,1244,1092,907,1259,531,502,663,1663,1620,1317
PF3D7_0222800,5,6,5,1,5,4,0,0,0,2,0,0
PF3D7_0923000,598,438,546,470,523,473,178,287,397,715,753,614
PF3D7_0110900,149,117,138,84,72,75,29,32,51,123,113,139
PF3D7_0513300,21301,15418,20046,17249,15651,20674,5334,4833,7194,10164,11364,10135
malmito_rna_RNA18,0,0,2,1,0,3,35,22,25,124,64,42
PF3D7_1115900,203,185,227,223,199,207,2775,3342,4117,2723,3190,3124
PF3D7_1323900,621,413,488,507,525,453,388,433,521,797,868,701
PF3D7_0610100,2327,1871,2240,2029,2062,2141,2475,2234,3274,4791,4764,3966
PF3D7_0217800,10289,8934,9521,6164,5873,6461,1587,1635,2094,4250,4676,4263
PF3D7_0729200,4,4,3,1,1,2,146,98,134,626,580,528
PF3D7_1035400,262,298,289,46,39,50,92521,87328,117317,8246,9998,9032
PF3D7_1238000,3,5,5,10,21,7,1026,1187,1210,1364,1363,1507
PF3D7_API04100,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_1309800,58,45,63,26,21,29,245,277,291,1394,1239,1192
PF3D7_0624500,82,80,90,53,39,81,1957,1940,2076,2351,2562,2543
PF3D7_0902100,5,3,3,5,3,3,6062,6289,7446,2853,3439,3019
PF3D7_1332500,476,279,375,292,291,238,581,735,897,626,645,539
PF3D7_1340000,182,128,136,128,118,158,222,180,198,655,600,531
PF3D7_0828300,959,717,914,570,505,574,1353,1379,1733,2637,2590,2302
PF3D7_0904400,14,5,4,7,7,11,470,740,872,1225,1408,1237
PF3D7_0925700,3859,2490,3008,3272,2883,3178,1943,1771,2416,4174,4525,3564
PF3D7_0727100,31,15,21,7,1,17,309,290,385,940,889,769
PF3D7_1031400,32,13,16,20,18,14,6717,5906,7736,4790,5296,4483
PF3D7_1242700,8921,6662,8033,5575,5765,7442,4567,4336,6206,9176,9689,8998
PF3D7_0717800,96,52,111,54,43,55,176,186,255,479,500,383
PF3D7_1469100,196,171,167,123,163,149,144,166,183,467,443,394
PF3D7_0600600,5,2,2,5,3,6,52,30,55,89,119,96
PF3D7_1228600,687,731,670,1167,1128,1311,261139,250615,313487,167825,189060,167668
